department,gender,age,years_of_service,performance_score,trainings_completed,kpi_met,awards_won,is_promoted
HR,Male,48,19,3.2,2,0,1,0
Finance,Male,42,13,3.7,4,1,0,1
IT,Female,23,7,3.1,3,1,0,0
Finance,Male,29,20,3.6,2,0,0,0
Finance,Male,28,21,3.7,2,1,0,1
Operations,Male,31,29,3.4,3,0,0,1
IT,Female,25,15,4.0,4,1,0,0
IT,Female,57,19,3.5,5,1,0,0
IT,Male,56,2,3.3,6,1,0,1
Finance,Female,24,12,3.2,0,1,0,1
HR,Male,39,8,2.9,0,1,0,1
IT,Female,45,23,2.8,5,0,0,0
Marketing,Male,53,23,3.8,3,1,0,0
Finance,Male,55,8,4.2,1,0,0,1
Operations,Female,23,13,4.6,2,1,0,1
HR,Male,23,1,4.1,6,1,0,0
Marketing,Female,31,28,3.8,2,1,1,1
Marketing,Male,44,24,3.7,4,1,0,0
Operations,Female,36,10,4.2,0,1,0,0
HR,Female,33,28,3.3,0,0,0,0
Finance,Male,38,21,4.4,3,0,0,1
Sales,Female,39,24,3.5,5,1,0,1
HR,Female,35,9,3.6,5,1,0,1
Operations,Female,38,29,3.5,3,0,0,0
Marketing,Male,36,2,4.1,2,0,0,1
Finance,Female,33,19,3.5,4,0,0,1
HR,Male,37,22,3.7,5,1,0,1
Sales,Male,53,25,2.9,3,0,1,1
Sales,Female,44,14,3.4,2,1,0,0
IT,Female,59,10,4.0,4,1,0,0
IT,Male,55,10,3.1,3,0,0,1
Operations,Male,55,8,3.5,4,1,0,1
HR,Male,37,14,3.5,1,0,1,0
HR,Male,55,13,3.2,3,1,0,1
Marketing,Male,28,6,4.0,1,1,0,0
Marketing,Female,54,21,3.7,4,1,0,1
Marketing,Male,25,13,4.0,6,1,0,0
IT,Female,28,3,4.0,1,1,0,1
HR,Female,39,28,3.5,1,1,0,1
HR,Male,25,20,4.3,5,1,0,0
Sales,Male,32,29,2.9,3,1,0,1
IT,Male,41,13,3.4,3,1,0,0
Finance,Male,32,23,3.6,4,0,0,1
IT,Female,36,23,2.6,2,1,0,0
Finance,Male,38,19,4.2,2,0,0,0
Sales,Female,55,16,3.1,2,0,1,0
Operations,Male,33,4,3.5,4,0,0,0
HR,Male,49,3,3.9,2,1,0,1
Sales,Male,56,15,4.7,2,1,0,0
HR,Male,29,15,2.7,1,0,0,0
Marketing,Male,48,18,3.8,2,0,0,0
Operations,Male,43,22,3.4,3,1,1,1
Operations,Female,45,7,3.8,3,1,0,0
Sales,Female,23,20,4.0,2,1,0,1
Operations,Male,52,5,3.7,2,1,0,1
Finance,Male,43,8,3.5,1,0,0,1
Operations,Male,22,25,3.0,7,1,0,1
HR,Male,35,23,3.0,0,1,0,0
HR,Male,46,10,3.9,4,0,0,0
HR,Male,57,1,3.1,2,0,0,0
HR,Male,57,11,3.7,6,0,0,0
Finance,Male,24,3,4.2,2,1,0,0
IT,Male,26,27,2.9,4,1,0,1
Marketing,Male,22,21,4.2,3,0,0,0
Sales,Female,40,3,4.1,1,0,0,1
HR,Male,54,15,3.7,3,0,0,1
Operations,Male,51,17,3.2,2,1,1,0
HR,Female,33,18,3.8,2,0,0,1
Operations,Female,31,8,3.4,1,1,0,0
Marketing,Female,55,23,3.1,4,1,0,0
Marketing,Female,37,13,3.6,4,1,1,1
Marketing,Male,50,10,3.1,4,1,0,0
Operations,Female,36,3,2.9,2,0,0,0
